gameId,trialNum,repNum,tangram,condition,text
22dyGMRgestp8u5Lc,0,0,C,2_thin,jumping off building with hands in the air
22dyGMRgestp8u5Lc,1,0,G,2_thin,like the a high heeled shoe tough one
22dyGMRgestp8u5Lc,2,0,H,2_thin,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,3,0,B,2_thin,like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right
22dyGMRgestp8u5Lc,4,0,K,2_thin,"kneeling in gown with Bible in hand, facing to the right heel up in back"
22dyGMRgestp8u5Lc,5,0,L,2_thin,"Starting to stand after kneeling facing right, Bible still in hand"
22dyGMRgestp8u5Lc,6,0,A,2_thin,"standing, but falling backward facing left right foot in the air arms out"
22dyGMRgestp8u5Lc,7,0,D,2_thin,Priest standing up straight facing left reading from Bible
22dyGMRgestp8u5Lc,8,0,F,2_thin,Guy relaxing in the park facing left arms to side (not visible) knees up
22dyGMRgestp8u5Lc,9,0,I,2_thin,"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left"
22dyGMRgestp8u5Lc,10,0,E,2_thin,kid facing right sitting on butt knees up slightly wearing bunny ears
22dyGMRgestp8u5Lc,11,0,J,2_thin,aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge
22dyGMRgestp8u5Lc,12,1,K,2_thin,Kneeling with bible facing to the right Heel up
22dyGMRgestp8u5Lc,13,1,L,2_thin,Standing up from kneeling Bible still in hand
22dyGMRgestp8u5Lc,14,1,C,2_thin,Falling off building Arms in air
22dyGMRgestp8u5Lc,15,1,D,2_thin,Priest standing with bible Facing to the left
22dyGMRgestp8u5Lc,16,1,E,2_thin,Bunny ears
22dyGMRgestp8u5Lc,17,1,A,2_thin,"Falling backwards, facing left, arms out"
22dyGMRgestp8u5Lc,18,1,J,2_thin,Half a pot with triangle on top
22dyGMRgestp8u5Lc,19,1,H,2_thin,no arms or legs
22dyGMRgestp8u5Lc,20,1,G,2_thin,"high heel shoe, facing left"
22dyGMRgestp8u5Lc,21,1,B,2_thin,"baby looking up with arms out, bow on back of head"
22dyGMRgestp8u5Lc,22,1,I,2_thin,"arms out in front, back leg up, facing left"
22dyGMRgestp8u5Lc,23,1,F,2_thin,"sitting down, facing left, no arms visible"
22dyGMRgestp8u5Lc,24,2,H,2_thin,No arms or legs upright
22dyGMRgestp8u5Lc,25,2,B,2_thin,baby facing left sitting down bow in back of head
